Company Name,Company Name URL,Category Groups,Headquarters Location,Description,Crunchbase Rank,Status,Founded Date,Closed Date,Number of Articles,Website,Twitter,Facebook,LinkedIn,Contact Email,Phone Number,Categories,Number of Founders,Number of Employees,Last Funding Date,Last Funding Amount,Last Equity Funding Amount,Total Equity Funding Amount,Total Funding Amount,Number of Investors,Trend Score (7 Days),Trend Score (30 Days),Trend Score (90 Days)
Captivate.me,https://www.crunchbase.com/organization/captivate-me,"Media and Entertainment, Internet Services, Video",,Interactive Video,,Operating,08/01/2012,,,http://captivate.me,http://twitter.com/captivateit,http://www.facebook.com/pages/Captivate/143596875774497,,sayhello@captivate.me,,"Video, Social Media, Consulting",2,1-10,,,,,,,-0.4,2.8,3.7
Clicktivated,https://www.crunchbase.com/organization/clicktivated,"Commerce and Shopping, Sales and Marketing, Mobile, Advertising","Detroit, Michigan, United States",Clicktivated is an online AVE platform that allows its users to interact with videos without popups and markers.,"28,118",Operating,10/01/2013,,4,http://www.clicktivated.com,http://twitter.com/Clicktivated,http://www.facebook.com/clicktivated,https://www.linkedin.com/company/clicktivated-video,info@clicktivated.com,,"E-Commerce, Advertising, Mobile, Social Media Marketing",1,1-10,11/20/2013,"$250,000","$250,000","$700,000","$700,000",1,-0.1,-0.3,-0.7
Cypper,https://www.crunchbase.com/organization/cypper,"Apps, Community and Lifestyle, Software","Breda, Noord-Brabant, The Netherlands",Clypper a mobile video marketing platform Clypper allows community owners to transmit interactive video to mobile devices.,,Operating,04/01/2011,,,http://www.clypper.com/,http://twitter.com/clypper,http://www.facebook.com/Clypper,http://www.linkedin.com/company/clypper-international,info@clypper.com,,"Communities, Apps",,11-50,,,,,,,1.8,1.4,0.3
eFace2Face,https://www.crunchbase.com/organization/eface2face,"Hardware, Commerce and Shopping, Information Technology, Software, Internet Services, Messaging and Telecommunications","Clearwater, Florida, United States",Online customer engagement solutions,,Operating,11/01/2012,,,http://www.eface2face.com,http://twitter.com/eFace2Face,,http://www.linkedin.com/company/eface2face,info@eface2face.com,727-439-0393,"Video Conferencing, E-Commerce, Software",,11-50,,,,,,,-0.5,-0.1,-0.5
"Influence Technologies, LLC",https://www.crunchbase.com/organization/influence-technologies,"Media and Entertainment, Information Technology, Software, Sales and Marketing, Internet Services, Video, Mobile","Denver, Colorado, United States",Influence Technologies is a technology-enabled services firm that has created a BaaS interactive video platform that delivers online video.,"25,652",Operating,12/01/2012,,,http://influence.tv,http://twitter.com/wedeliverwow,https://www.facebook.com/wedeliverwow,https://www.linkedin.com/company/influence-technologies-llc,inquiries@influence.tv,(303) 495-6980,"Lead Generation, Email Marketing, CRM, Video, Internet, Mobile",1,11-50,08/29/2016,"$600,000","$1,020,000","$2,020,000","$2,870,000",1,-0.2,0.0,-0.9
Memoways,https://www.crunchbase.com/organization/memoways,"Media and Entertainment, Software, Internet Services, Video, Mobile","Genève, Geneve, Switzerland",Cloud platform for creating interactive video.,,Operating,06/16/2011,,,http://memoways.com,http://twitter.com/memoways,http://www.facebook.com/memowaysvideo,http://www.linkedin.com/company/memoways,info@memoways.com,+004178602325,"Video, Cloud Computing, SaaS, Mobile, Software",2,1-10,,,,,,,0.0,-0.4,0.7
ProPatient,https://www.crunchbase.com/organization/propatient,"Apps, Software, Health Care","Hillsborough, North Carolina, United States",ProPatient is a fast way to get the answers and tools you need to take control of your health and get the most out of your doctor visit.,,Operating,11/10/2013,,1,http://www.propatient.com/,https://twitter.com/,https://www.facebook.com/pages/ProPatient/1472368622985044,,david@hadden.com,(919) 904-0035,"Apps, Health Care, Software",1,1-10,,,,,,,1.2,1.9,0.5
Rapt Media,https://www.crunchbase.com/organization/rapt-media,"Media and Entertainment, Software, Video, Mobile","Boulder, Colorado, United States",Rapt Media is an interactive video platform for enterprise that powers engaging video content and delivers viewer insights and superior ROI.,"7,844",Operating,01/13/2011,,38,http://www.raptmedia.com,http://twitter.com/raptmedia,http://www.facebook.com/RaptMedia,http://www.linkedin.com/company/raptmedia,info@raptmedia.com,(720) 675-9886,"Video, Enterprise Software, Mobile",2,11-50,08/06/2014,"$3,100,000","$3,100,000","$8,748,376","$8,748,376",18,-0.5,-1.1,-1.3
Seeblings,https://www.crunchbase.com/organization/seeblings,"Hardware, Commerce and Shopping, Media and Entertainment, Software, Video, Financial Services, Mobile","Tel Aviv, Tel Aviv, Israel",Seeblings is a mobile app for creating and sharing interactive video greetings designed with Augmented Reality technology.,,Operating,01/01/2012,,,http://www.seeblings.com,https://www.twitter.com/seeblings,https://www.facebook.com/seeblings,,contact@seeblings.com,,"Gift Card, Video, Mobile, Augmented Reality",2,1-10,06/26/2013,,,,,1,-0.2,0.1,0.0
"SmartGenies, Inc.",https://www.crunchbase.com/organization/smartgenies-inc,"Gaming, Apps, Media and Entertainment, Software, Sales and Marketing","Portland, Oregon, United States",SmartGenies is an Interactive Content Creation and Distribution Software,,Operating,12/05/2013,,,http://www.smartgenies.com,http://twitter.com/SmartGenies,http://www.facebook.com/smartgenies,http://www.linkedin.com/company/smartgenies-com,info@smartgenies.com,+1 (800) 285-4365,"Content, Digital Media, Gamification, App Marketing, SaaS, Customer Service, Apps",,11-50,,,,,,,-0.4,-1.0,-1.4
